Date,SKU,SKU_Name_x,Demand,Forecast_Demand,SKU_Name_y
2024-01-01,APPL-001,Air Fryer 5L,28.0,14.399999300123094,
2024-01-01,PETS-001,Dry Dog Food 2kg,8.0,13.498261372460531,
2024-01-01,PCAR-003,Shampoo 400ml,10.0,14.000014547917583,
2024-01-01,PCAR-002,Razor 5-Blade,9.0,13.896672451369042,
2024-01-01,BABY-002,Nappy Pack 40,5.0,12.909588743212478,
2024-01-01,PCAR-001,Electric Toothbrush,29.0,14.100070713346785,
2024-01-01,OUTD-003,Hiking Socks 3-Pack,18.0,13.361899443937885,
2024-01-01,BABY-001,Baby Monitor,18.0,13.76394052219009,
2024-01-01,BABY-003,Baby Wipes 80ct,15.0,13.323604375910444,
2024-01-01,OUTD-001,Camping Tent 2P,22.0,13.868661244317463,
2024-01-01,OFFC-003,Desk Organiser,16.0,14.213194276526178,
2024-01-01,BEAU-001,Face Moisturiser,11.0,14.91378026786901,
2024-01-01,OFFC-002,Ballpoint Pens 10pk,11.0,13.685752515696777,
2024-01-01,OFFC-001,A4 Paper Ream,9.0,12.85543380016994,
2024-01-01,BEAU-002,Lipstick Set,5.0,13.75369140372606,
2024-01-01,OUTD-002,Sleeping Bag,11.0,13.369359715446338,
2024-01-01,MUSC-003,Digital Piano,14.0,14.044374445974825,
2024-01-01,PETS-002,Cat Litter 5kg,11.0,14.189951723739224,
2024-01-01,AUTO-003,Car Seat Organiser,2.0,13.43915741316181,
2024-01-01,APPL-002,Microwave Oven 20L,19.0,13.643006684087634,
2024-01-01,TOYS-001,Building Blocks Set,6.0,15.043750378445656,
2024-01-01,TOOL-003,Adjustable Wrench,31.0,13.614779980400442,
2024-01-01,APPL-003,Hand Blender,12.0,13.2628412391347,
2024-01-01,TOOL-001,Screwdriver Set,9.0,14.474766128888504,
2024-01-01,PETS-003,Pet Collar,10.0,13.997526367125433,
2024-01-01,SPRT-003,Resistance Bands,10.0,14.17106166199773,
2024-01-01,SPRT-002,Dumbbell Pair 5kg,14.0,13.125336055466471,
2024-01-01,SPRT-001,Yoga Mat,10.0,13.791908844778227,
2024-01-01,AUTO-002,Tyre Inflator,16.0,13.263437306522846,
2024-01-01,SOFT-003,VPN Subscription,7.0,13.641385348819496,
2024-01-01,SOFT-002,Office Suite,21.0,13.625250008856646,
2024-01-01,AUTO-001,Dash Cam HD,26.0,13.751843581339584,
2024-01-01,TOYS-002,Remote Control Car,13.0,15.281396958906845,
2024-01-01,MUSC-002,DJ Headphones,12.0,14.493898930788898,
2024-01-01,BEAU-003,Hair Serum 100ml,21.0,14.300921205647006,
2024-01-01,GROC-002,Cooking Oil 1L,12.0,18.110288894916422,
2024-01-01,GROC-001,Ground Coffee 500g,17.0,18.848965053237105,
2024-01-01,CLTH-003,Formal Trousers,20.0,10.995733820651363,
2024-01-01,GRDN-003,Pruning Shears,10.0,12.566311093277356,
2024-01-01,GRDN-002,Plant Pots Set,17.0,13.575234549575152,
2024-01-01,DIY0-001,Power Drill,9.0,13.289484563529,
2024-01-01,GROC-003,Pasta 500g,33.0,19.813308056384702,
2024-01-01,GRDN-001,Garden Hose 20m,13.0,14.220264067976876,
2024-01-01,FURN-002,Bookshelf 5-Tier,7.0,13.663131306297698,
2024-01-01,DIY0-002,Sandpaper Pack,16.0,13.946056528499108,
2024-01-01,FURN-001,Office Chair,2.0,13.121567015787155,
2024-01-01,ELEC-003,Wireless Charger,6.0,7.886430303444349,
2024-01-01,DIY0-003,Adhesive Tape Pack,22.0,13.519128988841494,
2024-01-01,ELEC-002,USB-C Hub 7-Port,11.0,8.219286670683344,
2024-01-01,FURN-003,Bedside Table,9.0,13.224659888036255,
2024-01-01,MUSC-001,Acoustic Guitar,8.0,13.164896814676109,
2024-01-01,CLTH-002,Cotton T-Shirt,14.0,10.859493156396216,
2024-01-01,HLTH-002,Digital Thermometer,3.0,13.080605373724506,
2024-01-01,MOVI-003,Popcorn Maker,9.0,13.173838552522328,
2024-01-01,MOVI-002,Streaming Voucher,20.0,14.589898957900784,
2024-01-01,BOOK-001,Fiction Novel,19.0,13.401030462946682,
2024-01-01,MOVI-001,Action DVD Pack,21.0,13.93225399068954,
2024-01-01,JWLY-003,Pearl Bracelet,4.0,15.362359363344162,
2024-01-01,JWLY-002,Gold Earrings,9.0,13.00560754093391,
2024-01-01,HLTH-001,Vitamin C 60 Tablets,6.0,13.31874023345143,
2024-01-01,HOMK-003,Cutting Board,15.0,14.216109472579468,
2024-01-01,BOOK-003,Self-Help Guide,11.0,14.412334185903058,
2024-01-01,HOMK-002,Knife Set 5pc,21.0,12.875363015687135,
2024-01-01,HOMK-001,Non-stick Pan 28cm,11.0,12.983119631964405,
2024-01-01,HLTH-003,First Aid Kit,7.0,12.358708681256292,
2024-01-01,CLTH-001,Denim Jacket,7.0,10.484860547904717,
2024-01-01,JWLY-001,Silver Necklace,28.0,13.394449822717304,
2024-01-01,TOYS-003,Jigsaw Puzzle 500pc,31.0,13.686489283120432,
2024-01-01,ELEC-001,Bluetooth Speaker,2.0,7.855252117080333,
2024-01-02,OUTD-003,Hiking Socks 3-Pack,13.0,12.982968371637742,
2024-01-02,GROC-001,Ground Coffee 500g,21.0,18.527715267509983,
2024-01-02,MUSC-003,Digital Piano,5.0,13.417270617533374,
2024-01-02,ELEC-001,Bluetooth Speaker,7.0,7.695511983047077,
2024-01-02,HLTH-001,Vitamin C 60 Tablets,10.0,13.359955506699013,
2024-01-02,BEAU-002,Lipstick Set,14.0,13.14916580059937,
2024-01-02,HOMK-002,Knife Set 5pc,13.0,13.151613198825869,
2024-01-02,OUTD-002,Sleeping Bag,8.0,12.960929969340365,
2024-01-02,CLTH-003,Formal Trousers,12.0,11.337549233776794,
2024-01-02,PCAR-002,Razor 5-Blade,14.0,13.670071937841543,
2024-01-02,APPL-002,Microwave Oven 20L,15.0,14.015847948805776,
2024-01-02,MUSC-001,Acoustic Guitar,10.0,12.663738577539409,
2024-01-02,AUTO-001,Dash Cam HD,18.0,13.36187041115023,
2024-01-02,SOFT-002,Office Suite,17.0,13.472816107303434,
2024-01-02,BOOK-003,Self-Help Guide,27.0,13.6965218824332,
2024-01-02,ELEC-003,Wireless Charger,7.0,7.937291284045539,
2024-01-02,DIY0-001,Power Drill,19.0,13.116691715980128,
2024-01-02,HLTH-002,Digital Thermometer,4.0,13.73099787526345,
2024-01-02,MOVI-003,Popcorn Maker,11.0,14.031690778403878,
2024-01-02,AUTO-002,Tyre Inflator,19.0,14.083800132882084,
2024-01-02,BABY-003,Baby Wipes 80ct,16.0,14.335809206501324,
2024-01-02,BABY-002,Nappy Pack 40,20.0,13.4181413451395,
2024-01-02,TOYS-001,Building Blocks Set,11.0,13.376759788627304,
2024-01-02,AUTO-003,Car Seat Organiser,18.0,13.563240282676782,
2024-01-02,FURN-003,Bedside Table,13.0,12.144090072838226,
2024-01-02,BEAU-003,Hair Serum 100ml,14.0,13.92165147867043,
2024-01-02,JWLY-001,Silver Necklace,2.0,13.471807165072196,
2024-01-02,DIY0-002,Sandpaper Pack,10.0,13.87950487885028,
2024-01-02,PETS-002,Cat Litter 5kg,8.0,14.6655777383039,
2024-01-02,SOFT-003,VPN Subscription,5.0,13.09729376950056,
2024-01-02,BEAU-001,Face Moisturiser,29.0,14.485081107487536,
2024-01-02,PCAR-001,Electric Toothbrush,16.0,14.080281228948722,
2024-01-02,FURN-002,Bookshelf 5-Tier,14.0,14.173598841059793,
2024-01-02,GROC-003,Pasta 500g,22.0,18.01178805740663,
2024-01-02,OFFC-003,Desk Organiser,16.0,14.680323603535966,
2024-01-02,TOOL-003,Adjustable Wrench,15.0,14.090915931056369,
2024-01-02,GRDN-003,Pruning Shears,24.0,13.623320676849804,
2024-01-02,TOYS-002,Remote Control Car,13.0,14.432419254597905,
2024-01-02,SPRT-003,Resistance Bands,8.0,13.65673225119309,
2024-01-02,APPL-003,Hand Blender,8.0,14.04389187379286,
2024-01-02,BOOK-001,Fiction Novel,14.0,14.124354515650422,
