Date,SKU,SKU_Name,Demand
2024-01-01,APPL-001,Air Fryer 5L,26.0
2024-01-01,PETS-001,Dry Dog Food 2kg,10.0
2024-01-01,PCAR-003,Shampoo 400ml,11.0
2024-01-01,PCAR-002,Razor 5-Blade,7.0
2024-01-01,BABY-002,Nappy Pack 40,5.0
2024-01-01,PCAR-001,Electric Toothbrush,28.0
2024-01-01,OUTD-003,Hiking Socks 3-Pack,22.0
2024-01-01,BABY-001,Baby Monitor,19.0
2024-01-01,BABY-003,Baby Wipes 80ct,13.0
2024-01-01,OUTD-001,Camping Tent 2P,20.0
2024-01-01,OFFC-003,Desk Organiser,12.0
2024-01-01,BEAU-001,Face Moisturiser,17.0
2024-01-01,OFFC-002,Ballpoint Pens 10pk,12.0
2024-01-01,OFFC-001,A4 Paper Ream,14.0
2024-01-01,BEAU-002,Lipstick Set,2.0
2024-01-01,OUTD-002,Sleeping Bag,17.0
2024-01-01,MUSC-003,Digital Piano,13.0
2024-01-01,PETS-002,Cat Litter 5kg,12.0
2024-01-01,AUTO-003,Car Seat Organiser,4.0
2024-01-01,APPL-002,Microwave Oven 20L,24.0
2024-01-01,TOYS-001,Building Blocks Set,5.0
2024-01-01,TOOL-003,Adjustable Wrench,31.0
2024-01-01,APPL-003,Hand Blender,11.0
2024-01-01,TOOL-002,Hammer 500g,10.0
2024-01-01,TOOL-001,Screwdriver Set,15.0
2024-01-01,PETS-003,Pet Collar,7.0
2024-01-01,SPRT-003,Resistance Bands,11.0
2024-01-01,SPRT-002,Dumbbell Pair 5kg,18.0
2024-01-01,SPRT-001,Yoga Mat,13.0
2024-01-01,AUTO-002,Tyre Inflator,21.0
2024-01-01,SOFT-003,VPN Subscription,15.0
2024-01-01,SOFT-002,Office Suite,11.0
2024-01-01,SOFT-001,Antivirus 1-Year,24.0
2024-01-01,AUTO-001,Dash Cam HD,27.0
2024-01-01,TOYS-002,Remote Control Car,10.0
2024-01-01,MUSC-002,DJ Headphones,12.0
2024-01-01,BEAU-003,Hair Serum 100ml,19.0
2024-01-01,GROC-002,Cooking Oil 1L,17.0
2024-01-01,GROC-001,Ground Coffee 500g,15.0
2024-01-01,CLTH-003,Formal Trousers,25.0
2024-01-01,GRDN-003,Pruning Shears,10.0
2024-01-01,GRDN-002,Plant Pots Set,20.0
2024-01-01,DIY0-001,Power Drill,5.0
2024-01-01,GROC-003,Pasta 500g,35.0
2024-01-01,GRDN-001,Garden Hose 20m,23.0
2024-01-01,FURN-002,Bookshelf 5-Tier,9.0
2024-01-01,DIY0-002,Sandpaper Pack,14.0
2024-01-01,FURN-001,Office Chair,4.0
2024-01-01,ELEC-003,Wireless Charger,4.0
2024-01-01,DIY0-003,Adhesive Tape Pack,15.0
2024-01-01,ELEC-002,USB-C Hub 7-Port,12.0
2024-01-01,FURN-003,Bedside Table,7.0
2024-01-01,MUSC-001,Acoustic Guitar,11.0
2024-01-01,CLTH-002,Cotton T-Shirt,16.0
2024-01-01,HLTH-002,Digital Thermometer,2.0
2024-01-01,MOVI-003,Popcorn Maker,7.0
2024-01-01,MOVI-002,Streaming Voucher,17.0
2024-01-01,BOOK-001,Fiction Novel,22.0
2024-01-01,MOVI-001,Action DVD Pack,29.0
2024-01-01,JWLY-003,Pearl Bracelet,5.0
2024-01-01,JWLY-002,Gold Earrings,14.0
2024-01-01,HLTH-001,Vitamin C 60 Tablets,9.0
2024-01-01,BOOK-002,Academic Textbook,12.0
2024-01-01,HOMK-003,Cutting Board,12.0
2024-01-01,BOOK-003,Self-Help Guide,10.0
2024-01-01,HOMK-002,Knife Set 5pc,25.0
2024-01-01,HOMK-001,Non-stick Pan 28cm,8.0
2024-01-01,HLTH-003,First Aid Kit,7.0
2024-01-01,CLTH-001,Denim Jacket,8.0
2024-01-01,JWLY-001,Silver Necklace,17.0
2024-01-01,TOYS-003,Jigsaw Puzzle 500pc,26.0
2024-01-01,ELEC-001,Bluetooth Speaker,2.0
2024-01-02,OUTD-003,Hiking Socks 3-Pack,14.0
2024-01-02,GROC-001,Ground Coffee 500g,26.0
2024-01-02,MUSC-003,Digital Piano,6.0
2024-01-02,ELEC-001,Bluetooth Speaker,7.0
2024-01-02,HLTH-001,Vitamin C 60 Tablets,9.0
2024-01-02,BEAU-002,Lipstick Set,14.0
2024-01-02,HOMK-002,Knife Set 5pc,16.0
2024-01-02,OUTD-002,Sleeping Bag,7.0
2024-01-02,CLTH-003,Formal Trousers,12.0
2024-01-02,PCAR-002,Razor 5-Blade,19.0
2024-01-02,APPL-002,Microwave Oven 20L,15.0
2024-01-02,MUSC-001,Acoustic Guitar,14.0
2024-01-02,AUTO-001,Dash Cam HD,21.0
2024-01-02,SOFT-002,Office Suite,19.0
2024-01-02,BOOK-003,Self-Help Guide,31.0
2024-01-02,ELEC-003,Wireless Charger,10.0
2024-01-02,DIY0-001,Power Drill,20.0
2024-01-02,HLTH-002,Digital Thermometer,12.0
2024-01-02,MOVI-003,Popcorn Maker,6.0
2024-01-02,AUTO-002,Tyre Inflator,12.0
2024-01-02,BABY-003,Baby Wipes 80ct,18.0
2024-01-02,BABY-002,Nappy Pack 40,23.0
2024-01-02,TOYS-001,Building Blocks Set,14.0
2024-01-02,AUTO-003,Car Seat Organiser,19.0
2024-01-02,FURN-003,Bedside Table,12.0
2024-01-02,BEAU-003,Hair Serum 100ml,15.0
2024-01-02,JWLY-001,Silver Necklace,2.0
2024-01-02,DIY0-002,Sandpaper Pack,13.0
2024-01-02,PETS-002,Cat Litter 5kg,11.0
2024-01-02,SOFT-003,VPN Subscription,8.0
2024-01-02,BEAU-001,Face Moisturiser,23.0
2024-01-02,PCAR-001,Electric Toothbrush,23.0
2024-01-02,FURN-002,Bookshelf 5-Tier,13.0
2024-01-02,GROC-003,Pasta 500g,19.0
2024-01-02,OFFC-003,Desk Organiser,15.0
2024-01-02,TOOL-003,Adjustable Wrench,18.0
2024-01-02,GRDN-003,Pruning Shears,29.0
2024-01-02,TOYS-002,Remote Control Car,8.0
2024-01-02,SPRT-003,Resistance Bands,9.0
2024-01-02,APPL-003,Hand Blender,8.0
2024-01-02,BOOK-001,Fiction Novel,22.0
2024-01-02,PETS-001,Dry Dog Food 2kg,13.0
2024-01-02,OFFC-001,A4 Paper Ream,12.0
2024-01-02,PCAR-003,Shampoo 400ml,9.0
2024-01-02,MOVI-001,Action DVD Pack,15.0
2024-01-02,FURN-001,Office Chair,16.0
2024-01-02,TOOL-002,Hammer 500g,19.0
2024-01-02,HOMK-001,Non-stick Pan 28cm,7.0
2024-01-02,ELEC-002,USB-C Hub 7-Port,7.0
2024-01-02,APPL-001,Air Fryer 5L,20.0
2024-01-02,TOYS-003,Jigsaw Puzzle 500pc,20.0
2024-01-02,DIY0-003,Adhesive Tape Pack,18.0
2024-01-02,MUSC-002,DJ Headphones,6.0
2024-01-02,CLTH-001,Denim Jacket,6.0
2024-01-02,HLTH-003,First Aid Kit,22.0
2024-01-02,GRDN-002,Plant Pots Set,8.0
2024-01-02,BOOK-002,Academic Textbook,13.0
2024-01-02,SPRT-002,Dumbbell Pair 5kg,7.0
2024-01-02,SPRT-001,Yoga Mat,7.0
2024-01-02,GRDN-001,Garden Hose 20m,12.0
2024-01-02,SOFT-001,Antivirus 1-Year,17.0
2024-01-02,OFFC-002,Ballpoint Pens 10pk,13.0
2024-01-02,MOVI-002,Streaming Voucher,14.0
2024-01-02,BABY-001,Baby Monitor,2.0
2024-01-02,PETS-003,Pet Collar,36.0
2024-01-02,GROC-002,Cooking Oil 1L,13.0
2024-01-02,HOMK-003,Cutting Board,2.0
2024-01-02,JWLY-002,Gold Earrings,9.0
2024-01-02,CLTH-002,Cotton T-Shirt,9.0
2024-01-02,OUTD-001,Camping Tent 2P,13.0
2024-01-02,JWLY-003,Pearl Bracelet,13.0
2024-01-02,TOOL-001,Screwdriver Set,14.0
2024-01-03,MUSC-002,DJ Headphones,3.0
2024-01-03,SPRT-001,Yoga Mat,14.0
2024-01-03,JWLY-001,Silver Necklace,12.0
2024-01-03,TOOL-003,Adjustable Wrench,13.0
2024-01-03,TOYS-003,Jigsaw Puzzle 500pc,13.0
2024-01-03,ELEC-002,USB-C Hub 7-Port,3.0
2024-01-03,HLTH-002,Digital Thermometer,16.0
2024-01-03,MUSC-001,Acoustic Guitar,9.0
2024-01-03,PETS-003,Pet Collar,2.0
2024-01-03,JWLY-002,Gold Earrings,25.0
2024-01-03,FURN-002,Bookshelf 5-Tier,15.0
2024-01-03,DIY0-002,Sandpaper Pack,10.0
2024-01-03,DIY0-001,Power Drill,18.0
2024-01-03,CLTH-003,Formal Trousers,33.0
2024-01-03,BABY-002,Nappy Pack 40,8.0
2024-01-03,BABY-001,Baby Monitor,2.0
2024-01-03,GROC-002,Cooking Oil 1L,5.0
2024-01-03,TOOL-001,Screwdriver Set,7.0
2024-01-03,OUTD-001,Camping Tent 2P,12.0
2024-01-03,BOOK-002,Academic Textbook,9.0
2024-01-03,BOOK-001,Fiction Novel,21.0
2024-01-03,MOVI-002,Streaming Voucher,29.0
2024-01-03,PETS-001,Dry Dog Food 2kg,11.0
2024-01-03,MOVI-001,Action DVD Pack,12.0
2024-01-03,GRDN-002,Plant Pots Set,13.0
2024-01-03,DIY0-003,Adhesive Tape Pack,9.0
2024-01-03,APPL-001,Air Fryer 5L,15.0
2024-01-03,CLTH-001,Denim Jacket,10.0
2024-01-03,HLTH-003,First Aid Kit,10.0
2024-01-03,FURN-001,Office Chair,17.0
2024-01-03,APPL-003,Hand Blender,17.0
2024-01-03,SPRT-003,Resistance Bands,21.0
2024-01-03,MOVI-003,Popcorn Maker,20.0
2024-01-03,TOYS-001,Building Blocks Set,12.0
2024-01-03,BEAU-003,Hair Serum 100ml,25.0
2024-01-03,BEAU-001,Face Moisturiser,16.0
2024-01-03,TOYS-002,Remote Control Car,24.0
2024-01-03,GROC-003,Pasta 500g,9.0
2024-01-03,OUTD-003,Hiking Socks 3-Pack,6.0
2024-01-03,OFFC-003,Desk Organiser,12.0
2024-01-03,PETS-002,Cat Litter 5kg,7.0
2024-01-03,GROC-001,Ground Coffee 500g,21.0
2024-01-03,OUTD-002,Sleeping Bag,2.0
2024-01-03,HOMK-002,Knife Set 5pc,5.0
2024-01-03,PCAR-002,Razor 5-Blade,14.0
2024-01-03,APPL-002,Microwave Oven 20L,11.0
2024-01-03,AUTO-001,Dash Cam HD,9.0
2024-01-03,TOOL-002,Hammer 500g,20.0
