Date,SKU,SKU_Name,Demand,Forecast_Demand
2024-01-01,APPL-001,Air Fryer 5L,35.0,14.782687320395626
2024-01-01,PETS-001,Dry Dog Food 2kg,9.0,13.989093330349265
2024-01-01,PCAR-003,Shampoo 400ml,10.0,14.238650053083395
2024-01-01,PCAR-002,Razor 5-Blade,8.0,13.634565550318689
2024-01-01,BABY-002,Nappy Pack 40,6.0,12.24186035485701
2024-01-01,PCAR-001,Electric Toothbrush,22.0,14.694638003162405
2024-01-01,OUTD-003,Hiking Socks 3-Pack,21.0,13.318025251916
2024-01-01,BABY-001,Baby Monitor,27.0,14.379456308941744
2024-01-01,BABY-003,Baby Wipes 80ct,11.0,13.275472750642788
2024-01-01,OUTD-001,Camping Tent 2P,14.0,13.51420206119115
2024-01-01,OFFC-003,Desk Organiser,16.0,13.262489252820032
2024-01-01,BEAU-001,Face Moisturiser,17.0,15.233324229776544
2024-01-01,OFFC-002,Ballpoint Pens 10pk,10.0,14.106657397162849
2024-01-01,OFFC-001,A4 Paper Ream,9.0,13.584013323840786
2024-01-01,BEAU-002,Lipstick Set,4.0,14.06503522087178
2024-01-01,OUTD-002,Sleeping Bag,8.0,13.204618385100908
2024-01-01,MUSC-003,Digital Piano,9.0,13.146887029019844
2024-01-01,PETS-002,Cat Litter 5kg,11.0,14.746207308852432
2024-01-01,AUTO-003,Car Seat Organiser,1.0,13.085310726619864
2024-01-01,APPL-002,Microwave Oven 20L,22.0,14.09417806668663
2024-01-01,TOYS-001,Building Blocks Set,4.0,14.821307023975171
2024-01-01,TOOL-003,Adjustable Wrench,43.0,13.617144720349636
2024-01-01,APPL-003,Hand Blender,13.0,13.374787749917902
2024-01-01,TOOL-002,Hammer 500g,10.0,12.954543703917723
2024-01-01,TOOL-001,Screwdriver Set,13.0,14.99770162965556
2024-01-01,PETS-003,Pet Collar,7.0,13.95493525549444
2024-01-01,SPRT-003,Resistance Bands,11.0,14.70275176130862
2024-01-01,SPRT-002,Dumbbell Pair 5kg,22.0,13.614938769006244
2024-01-01,SPRT-001,Yoga Mat,15.0,14.511404719845029
2024-01-01,AUTO-002,Tyre Inflator,20.0,12.71658400191764
2024-01-01,SOFT-003,VPN Subscription,8.0,13.57243979873494
2024-01-01,SOFT-002,Office Suite,15.0,13.0724289932902
2024-01-01,SOFT-001,Antivirus 1-Year,22.0,12.29378208243926
2024-01-01,AUTO-001,Dash Cam HD,31.0,13.990073992398678
2024-01-01,TOYS-002,Remote Control Car,9.0,14.866737691969432
2024-01-01,MUSC-002,DJ Headphones,9.0,14.058099696797791
2024-01-01,BEAU-003,Hair Serum 100ml,23.0,14.289451682784597
2024-01-01,GROC-002,Cooking Oil 1L,17.0,19.18125951976819
2024-01-01,GROC-001,Ground Coffee 500g,15.0,18.498317160997317
2024-01-01,CLTH-003,Formal Trousers,25.0,11.720761446434729
2024-01-01,GRDN-003,Pruning Shears,12.0,12.646536728446875
2024-01-01,GRDN-002,Plant Pots Set,15.0,13.063325524592427
2024-01-01,DIY0-001,Power Drill,7.0,12.987696067896511
2024-01-01,GROC-003,Pasta 500g,33.0,19.11251680228513
2024-01-01,GRDN-001,Garden Hose 20m,17.0,14.620222901602853
